age_bin,age_mid,p10,p25,p50,p75,p90,n
"(14.5,15]",14.918141592920355,6.674242424242425,7.0720643939393915,7.7577380952381,8.35168650793651,9.106307870370367,226
"(15,15.5]",15.23729216152019,6.385000000000001,7.2,7.859375,8.521875,9.14285714285715,421
"(15.5,16]",15.767261904761904,6.327083333333333,6.958385416666666,7.723065476190475,8.386607142857141,9.069166666666664,168
"(16,16.5]",16.26282051282051,6.495729166666667,7.134895833333333,7.727083333333333,8.282142857142862,8.899985119047617,78
"(16.5,17]",16.75263157894737,6.9143650793650835,7.075231481481483,7.540277777777784,8.240972222222226,9.002777777777773,19
"(17,17.5]",17.366666666666667,6.390666666666666,6.951190476190484,8.035714285714283,8.571875,9.788958333333332,9
