age_bin,age_mid,p10,p25,p50,p75,p90,n
"[3,4]",3.584375,9.040000000000001,9.454166666666666,9.899999999999999,10.245833333333334,10.916666666666666,32
"(4,5]",4.564444444444445,8.610000000000001,9.4,9.933333333333334,10.616666666666667,10.816666666666666,45
"(5,6]",5.611764705882353,8.636666666666667,9.179166666666667,9.8,10.225,10.508333333333333,34
"(6,7]",6.538709677419355,8.983333333333333,9.541666666666666,9.883333333333333,10.141666666666666,10.416666666666666,31
"(7,8]",7.481481481481482,8.293333333333333,9.041666666666668,9.55,10.191666666666666,10.34,27
"(8,9]",8.560869565217391,8.476666666666667,8.908333333333333,9.45,10.024999999999999,10.45,23
"(9,10]",9.505555555555556,8.011666666666667,8.633333333333333,9.091666666666667,9.570833333333333,9.783333333333333,18
"(10,11]",10.5,7.609999999999999,8.4,8.6,9.7,10.036666666666665,9
"(11,12]",11.620000000000001,8.023333333333333,8.183333333333334,8.2,9.333333333333334,9.623333333333333,5
